date,region,product,revenue,units_sold
2026-01-08,South,Gadget X,4588.13,31
2026-01-21,North,Widget A,4553.21,31
2026-01-09,South,Widget B,4978.66,31
2026-01-18,West,Gadget Y,3231.43,10
2026-01-08,South,Gadget Y,3732.13,43
2026-01-25,North,Widget B,3815.33,38
2026-01-02,East,Widget A,4135.5,18
2026-01-16,West,Gadget Y,2035.32,37
2026-01-15,South,Gadget X,577.53,9
2026-01-16,South,Gadget X,4830.85,28
2026-01-25,East,Gadget Y,2585.49,25
2026-01-19,East,Gadget Y,2962.83,22
2026-01-22,North,Gadget X,4955.85,43
2026-01-23,South,Gadget X,4826.7,37
2026-01-19,North,Widget B,3201.58,37
2026-01-09,East,Widget A,410.96,41
2026-01-16,North,Gadget X,4022.92,27
2026-01-05,North,Gadget X,2192.99,27
2026-01-28,North,Widget A,3064.44,49
2026-01-02,West,Gadget X,2799.17,18
2026-02-17,South,Widget A,1617.38,5
2026-02-04,North,Widget B,4860.0,19
2026-02-20,East,Widget B,3479.69,22
2026-02-11,East,Widget B,4493.63,25
2026-02-13,West,Gadget Y,3255.05,39
2026-02-22,North,Gadget X,2212.84,47
2026-02-23,South,Gadget X,2243.48,17
2026-02-17,East,Gadget X,156.14,27
2026-02-19,East,Widget A,1944.93,38
2026-02-21,South,Widget A,3204.31,22
2026-02-15,East,Gadget X,3083.43,18
2026-02-24,West,Widget A,2987.95,44
2026-02-01,East,Gadget X,3177.05,20
2026-02-19,East,Widget B,1883.38,21
2026-02-25,East,Gadget X,1571.98,25
2026-02-04,North,Widget B,1619.08,15
2026-02-21,East,Widget B,1706.15,44
2026-02-14,North,Widget A,3043.55,22
2026-02-22,South,Gadget Y,4067.85,11
2026-02-03,East,Widget B,4436.0,29
2026-03-09,South,Widget A,266.15,13
2026-03-11,South,Gadget X,1766.54,42
2026-03-03,East,Widget B,2164.23,34
2026-03-26,East,Gadget Y,1797.14,27
2026-03-10,West,Gadget Y,274.17,27
2026-03-05,South,Widget A,2439.03,40
2026-03-17,West,Widget B,258.36,30
2026-03-27,East,Gadget X,4459.55,5
2026-03-28,East,Widget A,4069.94,3
2026-03-02,South,Gadget Y,2927.07,1
2026-03-16,North,Widget B,2565.62,16
2026-03-22,North,Gadget Y,360.91,40
2026-03-04,East,Widget B,1337.13,35
2026-03-16,North,Gadget X,1181.94,8
2026-03-18,North,Widget B,1273.34,18
2026-03-26,South,Widget A,2488.76,37
2026-03-28,West,Widget A,3806.8,16
2026-03-09,West,Widget A,2417.21,50
2026-03-27,North,Widget A,3898.7,3
2026-03-04,North,Widget A,2465.78,3
2026-04-28,North,Gadget Y,1647.89,21
2026-04-03,East,Gadget Y,3269.88,38
2026-04-10,East,Gadget X,1036.3,22
2026-04-14,North,Widget B,2822.08,46
2026-04-24,West,Widget A,2877.0,3
2026-04-12,West,Gadget Y,3219.71,3
2026-04-20,West,Widget A,1924.86,32
2026-04-25,East,Gadget Y,4756.42,27
2026-04-15,North,Widget B,1171.38,18
2026-04-23,North,Gadget Y,1199.76,9
2026-04-01,East,Gadget X,4847.18,36
2026-04-26,East,Widget A,2374.3,8
2026-04-27,West,Widget A,3695.3,37
2026-04-18,North,Widget A,2420.38,16
2026-04-25,West,Widget A,2683.31,37
2026-04-04,West,Widget B,4115.29,22
2026-04-27,North,Widget A,4235.32,44
2026-04-16,East,Gadget X,4013.86,3
2026-04-25,South,Widget A,2816.87,7
2026-04-18,North,Gadget X,4360.17,12
2026-05-27,North,Widget B,4991.91,42
2026-05-08,West,Gadget Y,1339.19,39
2026-05-13,East,Gadget Y,4834.94,25
2026-05-17,South,Gadget Y,4233.65,11
2026-05-14,West,Widget B,3250.47,10
2026-05-06,North,Gadget Y,3765.96,45
2026-05-17,West,Widget B,767.8,49
2026-05-07,South,Gadget X,4680.47,45
2026-05-18,East,Gadget Y,3016.6,38
2026-05-19,East,Widget B,1605.41,18
2026-05-16,West,Widget B,944.01,24
2026-05-08,East,Gadget Y,3893.6,10
2026-05-14,West,Widget B,2393.46,42
2026-05-18,North,Gadget Y,4964.67,5
2026-05-28,West,Widget A,2390.24,15
2026-05-08,North,Widget B,4284.02,16
2026-05-07,East,Widget B,1017.21,46
2026-05-22,North,Gadget X,931.58,3
2026-05-11,South,Gadget Y,545.69,6
2026-05-04,North,Gadget X,4186.25,19
2026-06-02,East,Gadget Y,2943.47,44
2026-06-11,North,Widget A,1740.53,28
2026-06-13,West,Widget A,1129.47,38
2026-06-24,West,Gadget Y,714.58,21
2026-06-04,East,Widget A,3360.62,8
2026-06-15,East,Widget A,2685.67,45
2026-06-12,East,Gadget Y,1548.12,44
2026-06-22,East,Widget A,3795.53,22
2026-06-22,North,Gadget Y,2592.55,4
2026-06-23,East,Widget B,3264.59,47
2026-06-21,South,Widget B,1916.82,42
2026-06-15,North,Widget A,4666.04,10
2026-06-11,West,Gadget X,3272.69,30
2026-06-16,East,Widget B,3556.79,7
2026-06-23,South,Gadget Y,1860.19,18
2026-06-09,West,Widget A,4375.45,3
2026-06-16,East,Widget B,3507.69,33
2026-06-12,East,Gadget Y,2296.34,50
2026-06-03,East,Gadget Y,4249.73,8
2026-06-05,East,Widget A,3439.26,37
